4"
"Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse","Musica Viva","Dvořák: Cello Concerto in A Major & Serenade for Strings in E Major","FurSMP - Music","Playlist","BER181271405"
"Home","AURORA","All My Demons Greeting Me as a Friend","FurSMP - Music","Playlist","GBUM71502920"
"Toda Forma De Poder","Engenheiros Do Hawaii","Longe Demais Das Capitais","FurSMP - Music","Playlist","BRBMG8600000"
"僕の戦争 (TV Size) - Boku no Sensou (TV Size)","SHINSEI KAMATTE CHAN","Boku no Senso (TV Size)","FurSMP - Music","Playlist","JPPC02001493"
"Only Time Will Tell","Asia","Asia","FurSMP - Music","Playlist","USGF18200802"
"Scene One: Regression","Dream Theater","Metropolis, Pt. 2: Scenes from a Memory","FurSMP - Music","Playlist","USEW19900316"
"Non, je ne regrette rien","Edith Piaf","Eternelle","FurSMP - Music","Playlist","FRZ116000530"
"La Vie En Rose","Edith Piaf","La Vie En Rose","FurSMP - Music","Playlist","GBRKQ2214145"
"Seventh Heaven","INOHA","Seventh Heaven","FurSMP - Music","Playlist","QZDA72402508"
